rank,points,year,team,four_stars,five_stars,total,average_player,blue_chip
1,317.05,2024,Georgia,19,5,28,93.61,24
2,310.74,2024,Alabama,17,5,28,93.12,22
3,293.2,2024,Oregon,22,0,27,92.19,22
4,291.52,2024,Miami,11,3,27,91.0,14
5,289.1,2024,Ohio State,14,4,23,92.79,18
6,286.9,2024,Texas,15,4,22,92.37,19
7,278.74,2024,LSU,19,1,29,90.82,20
8,275.6,2024,Oklahoma,19,1,28,90.84,20
9,275.56,2024,Notre Dame,16,0,23,91.46,16
10,275.39,2024,Auburn,14,1,20,92.1,15
11,272.16,2024,Clemson,11,2,22,90.63,13
12,271.74,2024,Florida State,16,0,23,90.9,16
13,268.23,2024,Florida,12,2,20,91.35,14
14,267.23,2024,Tennessee,11,2,21,91.16,13
15,265.61,2024,Penn State,15,0,25,90.59,15
16,261.9,2024,Michigan,17,0,26,90.27,17
17,253.75,2024,USC,13,0,22,90.15,13
18,247.49,2024,Nebraska,7,1,31,88.24,8
19,245.16,2024,Texas A&M,15,1,17,91.43,16
20,241.92,2024,Missouri,7,1,21,89.35,8
21,240.36,2024,Ole Miss,11,0,22,89.47,11
22,239.73,2024,South Carolina,8,2,16,90.74,10
23,239.08,2024,Wisconsin,11,0,22,89.33,11
24,236.84,2024,Kentucky,8,0,24,88.71,8
25,236.06,2024,Texas Tech,5,1,21,89.13,6
26,228.81,2024,North Carolina,6,0,28,87.84,6
27,226.74,2024,Purdue,5,0,27,87.4,5
28,225.02,2024,NC State,5,0,24,87.66,5
29,223.21,2024,Mississippi State,7,0,25,87.89,7
30,217.16,2024,Stanford,3,0,25,87.14,3
31,216.65,2024,Arkansas,7,0,17,89.21,7
32,215.38,2024,Iowa,6,0,21,87.64,6
33,213.99,2024,Georgia Tech,3,0,23,87.39,3
34,213.86,2024,TCU,5,0,21,87.08,5
35,212.83,2024,UCF,7,0,18,88.19,7
36,211.77,2024,Rutgers,4,0,25,86.91,4
37,211.6,2024,Minnesota,3,0,20,87.73,3
38,210.54,2024,Syracuse,4,0,25,86.93,4
39,209.92,2024,Maryland,3,0,24,86.81,3
40,207.78,2024,Vanderbilt,2,0,21,86.95,2
41,204.09,2024,Pittsburgh,2,0,22,86.93,2
42,203.51,2024,Michigan State,3,0,21,86.53,3
43,203.0,2024,Kansas,3,0,17,87.6,3
44,202.7,2024,Brigham Young,2,0,25,85.79,2
45,202.6,2024,Virginia Tech,4,0,16,88.14,4
46,202.07,2024,West Virginia,1,0,23,86.58,1
47,201.79,2024,Washington,4,0,16,87.87,4
48,199.47,2024,Arizona State,1,0,20,86.58,1
49,198.83,2024,Illinois,2,0,19,86.66,2
50,197.92,2024,USF,1,0,28,85.42,1
