name,rank,school,position,follwers,valuation
Shedeur Sanders,1,colorado buffaloes,QB,2500000,4600000.0
Travis Hunter,2,colorado buffaloes,CB,2300000,2700000.0
Arch Manning,3,texas longhorns,QB,301000,2400000.0
Quinn Ewers,4,texas longhorns,QB,265000,1900000.0
Jalen Milroe,5,alabama crimson tide,QB,223000,1600000.0
Carson Beck,6,georgia bulldogs,QB,118000,1600000.0
Jaxson Dart,7,ole miss rebels,QB,143000,1500000.0
Dillon Gabriel,8,oregon ducks,QB,160000,1400000.0
Nico Iamaleava,9,tennessee volunteers,QB,345000,1300000.0
Evan Stewart,10,oregon ducks,WR,2400000,1300000.0
Brady Cook,11,missouri tigers,QB,69000,1100000.0
Shilo Sanders,12,colorado buffaloes,S,1400000,1100000.0
Garrett Nussmeier,13,lsu tigers,QB,305000,1100000.0
Cam Ward,14,miami hurricanes,QB,147000,1100000.0
Will Howard,15,ohio state buckeyes,QB,56000,1100000.0
Riley Leonard,16,notre dame fighting irish,QB,40000,1000000.0
Caleb Downs,17,ohio state buckeyes,S,177000,
Kelvin Banks,18,texas longhorns,OT,22000,
Dylan Raiola,19,nebraska cornhuskers,QB,121000,
DJ Uiagalelei,20,florida state seminoles,QB,212000,
Emeka Egbuka,21,ohio state buckeyes,WR,111000,
James Pearce,22,tennessee volunteers,EDGE,14900,
J.T. Tuimoloau,23,ohio state buckeyes,EDGE,63000,
Luther Burden,24,missouri tigers,WR,114000,
Isaiah Bond,25,texas longhorns,WR,171000,
TreVeyon Henderson,26,ohio state buckeyes,RB,159000,
DJ Lagway,27,florida gators,QB,79000,
Kyle McCord,28,syracuse orange,QB,92000,
Zalance Heard,29,tennessee volunteers,OT,8000,
Tre Harris,30,ole miss rebels,WR,16600,
Ajani Cornelius,31,oregon ducks,OT,8300,
Denzel Burke,32,ohio state buckeyes,CB,48000,
Jalon Daniels,33,kansas jayhawks,QB,104000,
Quinshon Judkins,34,ohio state buckeyes,RB,192000,
Julian Sayin,35,alabama crimson tide,QB,50000,
Will Johnson,36,michigan wolverines,CB,90000,
Princely Umanmielen,37,ole miss rebels,EDGE,37000,
Trey Moore,38,texas longhorns,EDGE,3800,
Colin Simmons,39,texas longhorns,EDGE,162000,
Drew Allar,40,penn state nittany lions,QB,112000,
Earnest Greene,41,georgia bulldogs,OT,11700,
Kaimon Rucker,42,north carolina tar heels,EDGE,10900,
Jeremiah Smith,43,ohio state buckeyes,WR,188000,
Ollie Gordon,44,oklahoma state cowboys,RB,43000,
Will Campbell,45,lsu tigers,OT,38000,
Rueben Bain,46,miami hurricanes,EDGE,27000,
Damien Martinez,47,miami hurricanes,RB,4300,
Tez Johnson,48,oregon ducks,WR,1700,
Walter Nolen,49,ole miss rebels,DL,37000,
Harold Perkins,50,lsu tigers,LB,82000,
Graham Mertz,51,florida gators,QB,104000,
Nic Scourton,52,texas am aggies,EDGE,12900,
Jack Sawyer,53,ohio state buckeyes,EDGE,54000,
Kadyn Proctor,54,iowa hawkeyes,OT,71000,
Kaidon Salter,55,,QB,25000,
Benjamin Morrison,56,notre dame fighting irish,CB,22000,
Antwaun Powell-Ryland Jr.,57,virginia tech hokies,EDGE,10000,
Juice Wells,58,ole miss rebels,WR,13800,
Patrick Payton,59,florida state seminoles,EDGE,23000,
Ashton Gillotte,60,louisville cardinals,EDGE,7800,
CJ Daniels,61,lsu tigers,WR,4400,
Wyatt Milum,62,west virginia mountaineers,OT,6200,
Preston Stone,63,smu mustangs,QB,19600,
Tetairoa McMillan,64,arizona wildcats,WR,34000,
Omarion Hampton,65,north carolina tar heels,RB,26000,
Conner Weigman,66,texas am aggies,QB,46000,
Tyler Booker,67,alabama crimson tide,IOL,16600,
Jackson Arnold,68,oklahoma sooners,QB,77000,
Trevor Etienne,69,georgia bulldogs,RB,85000,
Tyleik Williams,70,ohio state buckeyes,DL,26000,
Ellis Robinson IV,71,georgia bulldogs,CB,30000,
Tate Ratledge,72,georgia bulldogs,IOL,36000,
Jake Majors,73,texas longhorns,IOL,9500,
Donovan Edwards,74,michigan wolverines,RB,102000,
Air Noland,75,ohio state buckeyes,QB,71000,
Colston Loveland,76,michigan wolverines,TE,46000,
Ethan Garbers,77,ucla bruins,QB,15500,
Valentin Senn,78,connecticut huskies,OT,2600,
Cam Coleman,79,auburn tigers,WR,9200,
Malaki Starks,80,georgia bulldogs,S,37000,
Deontae Lawson,81,alabama crimson tide,LB,33000,
Josh Simmons,82,ohio state buckeyes,OT,2400,
Xavier Restrepo,83,miami hurricanes,WR,40000,
Zachariah Branch,84,usc trojans,WR,251000,
Armand Membou,85,missouri tigers,OT,27000,
Noah Fifita,86,arizona wildcats,QB,10000,
Malachi Moore,87,alabama crimson tide,S,142000,
Jonah Savaiinaea,88,arizona wildcats,OT,4200,
Abdul Carter,89,penn state nittany lions,EDGE,23000,
Joey Aguilar,90,appalachian state mountaineers,QB,1200,
Miller Moss,91,usc trojans,QB,22000,
KJ Bolden,92,georgia bulldogs,S,78000,
Ashton Jeanty,93,boise state broncos,RB,1900,
Kris Mitchell,94,notre dame fighting irish,WR,650000,
Francisco Mauigoa,95,miami hurricanes,LB,3100,
Justin Flowe,96,arizona wildcats,LB,602000,
Justin Williams,97,georgia bulldogs,LB,24000,
Sebastian Castro,98,iowa hawkeyes,CB,2500,
Bear Alexander,99,usc trojans,DL,43000,
Jared Ivey,100,ole miss rebels,DL,5700,
